2026-06-05 12:18:11.946 MSK [188] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/4639EC8
2026-06-05 12:18:11.947 MSK [188] СООБЩЕНИЕ:  неверная длина записи в позиции 0/4639FD0: ожидалось минимум 24, получено 0
2026-06-05 12:18:11.947 MSK [188] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/4639F98, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2026-06-05 12:18:11.968 MSK [9848] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2026-06-05 12:18:12.042 MSK [9848] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 3; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.005 сек., синхр.=0.002 сек., всего=0.086 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/4639FD0, lsn redo=0/4639FD0
2026-06-05 12:18:12.057 MSK [10740] СООБЩЕНИЕ:  система БД готова принимать подключения
2026-06-05 12:28:11.060 MSK [9848] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 12:28:11.643 MSK [9848] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.566 сек., синхр.=0.005 сек., всего=0.584 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=16 КБ, ожидалось=16 КБ; lsn=0/463E390, lsn redo=0/463E338
2026-06-05 12:40:51.520 MSK [1440] СООБЩЕНИЕ:  запускается PostgreSQL 18.3 on x86_64-windows, compiled by msvc-19.44.35225, 64-bit
2026-06-05 12:40:51.560 MSK [1440] СООБЩЕНИЕ:  для приёма подключений по адресу IPv6 "::1" открыт порт 5432
2026-06-05 12:40:51.563 MSK [1440] СООБЩЕНИЕ:  для приёма подключений по адресу IPv4 "127.0.0.1" открыт порт 5432
2026-06-05 12:40:52.776 MSK [5300] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2026-06-05 12:28:11 MSK
2026-06-05 12:41:01.279 MSK [5300] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2026-06-05 12:41:01.297 MSK [5300] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/463E338
2026-06-05 12:41:01.298 MSK [5300] СООБЩЕНИЕ:  неверная длина записи в позиции 0/463E440: ожидалось минимум 24, получено 0
2026-06-05 12:41:01.298 MSK [5300] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/463E408, нагрузка системы: CPU: пользов.: 0.00 с, система: 0.00 с, прошло: 0.00 с
2026-06-05 12:41:01.324 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: end-of-recovery immediate wait
2026-06-05 12:41:01.388 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 3; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.005 сек., синхр.=0.003 сек., всего=0.078 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.002 сек.; расстояние=0 КБ, ожидалось=0 КБ; lsn=0/463E440, lsn redo=0/463E440
2026-06-05 12:41:01.405 MSK [1440] СООБЩЕНИЕ:  система БД готова принимать подключения
2026-06-05 12:46:01.391 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 12:46:02.191 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.781 сек., синхр.=0.007 сек., всего=0.800 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=26 КБ, ожидалось=26 КБ; lsn=0/4644F10, lsn redo=0/4644EB8
2026-06-05 12:51:01.207 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 12:51:01.778 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.550 сек., синхр.=0.007 сек., всего=0.571 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.003 сек., средняя=0.002 сек.; расстояние=13 КБ, ожидалось=25 КБ; lsn=0/4648448, lsn redo=0/46483F0
2026-06-05 12:56:01.793 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 12:56:02.365 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.555 сек., синхр.=0.005 сек., всего=0.573 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=20 КБ, ожидалось=24 КБ; lsn=0/464D528, lsn redo=0/464D4D0
2026-06-05 13:01:01.374 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:01:02.500 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 10 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.110 сек., синхр.=0.005 сек., всего=1.126 сек.; синхронизировано_файлов=9, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=44 КБ, ожидалось=44 КБ; lsn=0/4658608, lsn redo=0/46585B0
2026-06-05 13:06:01.503 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:06:02.109 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.567 сек., синхр.=0.006 сек., всего=0.607 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=18 КБ, ожидалось=41 КБ; lsn=0/465CEF0, lsn redo=0/465CE98
2026-06-05 13:11:01.125 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:11:02.002 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.600 сек., синхр.=0.249 сек., всего=0.877 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.245 сек., средняя=0.042 сек.; расстояние=18 КБ, ожидалось=39 КБ; lsn=0/4661AB8, lsn redo=0/4661A60
2026-06-05 13:16:01.034 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:16:01.731 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.599 сек., синхр.=0.032 сек., всего=0.711 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.023 сек., средняя=0.006 сек.; расстояние=18 КБ, ожидалось=37 КБ; lsn=0/46662F8, lsn redo=0/46662A0
2026-06-05 13:26:01.754 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:26:03.327 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 14 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.556 сек., синхр.=0.009 сек., всего=1.574 сек.; синхронизировано_файлов=12, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=61 КБ, ожидалось=61 КБ; lsn=0/4675770, lsn redo=0/4675718
2026-06-05 13:31:01.330 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:31:01.896 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.551 сек., синхр.=0.005 сек., всего=0.566 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=18 КБ, ожидалось=56 КБ; lsn=0/4679F70, lsn redo=0/4679F18
2026-06-05 13:36:01.908 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:36:02.708 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 7 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.785 сек., синхр.=0.006 сек., всего=0.801 сек.; синхронизировано_файлов=7, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=27 КБ, ожидалось=53 КБ; lsn=0/4680C38, lsn redo=0/4680BE0
2026-06-05 13:41:01.781 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:41:03.298 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.105 сек., синхр.=0.198 сек., всего=1.518 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.191 сек., средняя=0.033 сек.; расстояние=11 КБ, ожидалось=49 КБ; lsn=0/46838D8, lsn redo=0/4683880
2026-06-05 13:46:01.312 MSK [1816] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-05 13:46:01.459 MSK [1816] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.119 сек., синхр.=0.013 сек., всего=0.148 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.011 сек., средняя=0.007 сек.; расстояние=1 КБ, ожидалось=44 КБ; lsn=0/4684050, lsn redo=0/4683FE0
